R,k,p_k,p_k1,digits_N,F,f,u_up,u_dn,ncand_up,ncand_dn,q_k,T_up,T_dn
1,3,5,7,1.5,7,7,0.0,0.0,1,1,1.10255289e+00,1.102553,1.102553
1,4,7,11,2.3,13,11,0.181818,0.0,2,1,8.18199368e-01,1.636399,0.818199
1,5,11,13,3.4,23,13,0.769231,0.0,4,1,6.21368400e-01,2.485474,0.621368
1,6,13,17,4.5,17,17,0.0,0.0,1,1,5.05680491e-01,0.50568,0.50568
1,7,17,19,5.7,19,29,0.0,0.526316,1,3,4.21465287e-01,0.421465,1.264396
1,8,19,23,7.0,23,23,0.0,0.0,1,1,3.63455716e-01,0.363456,0.363456
1,9,23,29,8.3,37,43,0.275862,0.482759,3,5,3.17998186e-01,0.953995,1.589991
1,10,29,31,9.8,61,41,0.967742,0.322581,8,3,2.80261982e-01,2.242096,0.840786
1,11,31,37,11.3,67,73,0.810811,0.972973,8,10,2.51390015e-01,2.01112,2.5139
1,12,37,41,12.9,61,59,0.487805,0.439024,6,5,2.26891562e-01,1.361349,1.134458
1,13,41,43,14.5,71,47,0.651163,0.093023,7,2,2.06666644e-01,1.446667,0.413333
1,14,43,47,16.1,47,89,0.0,0.893617,1,10,1.90142370e-01,0.190142,1.901424
1,15,47,53,17.8,107,67,1.018868,0.264151,13,4,1.76014501e-01,2.288189,0.704058
1,16,53,59,19.5,59,73,0.0,0.237288,1,5,1.63546739e-01,0.163547,0.817734
1,17,59,61,21.3,61,107,0.0,0.754098,1,11,1.52524587e-01,0.152525,1.67777
1,18,61,67,23.1,109,89,0.626866,0.328358,11,6,1.43066053e-01,1.573727,0.858396
1,19,67,71,24.9,89,101,0.253521,0.422535,5,7,1.34580813e-01,0.672904,0.942066
1,20,71,73,26.7,103,127,0.410959,0.739726,7,11,1.27055348e-01,0.889387,1.397609
1,21,73,79,28.6,79,97,0.0,0.227848,1,4,1.20430142e-01,0.12043,0.481721
1,22,79,83,30.5,151,83,0.819277,0.0,14,1,1.14387095e-01,1.601419,0.114387
1,23,83,89,32.4,197,89,1.213483,0.0,22,1,1.08929824e-01,2.396456,0.10893
1,24,89,97,34.4,101,97,0.041237,0.0,2,1,1.03920290e-01,0.207841,0.10392
